name,quantity,itemEffects,weight,value,description,durability,oldItemTier,,,
Pole (10-foot),1,,7,5 cc,,,Mundane,,,
Signal Whistle,1,,0.1,5 bc,,,Mundane,,,
Spy Glass,1,,0,1000 bc,,,Mundane,,,
"Tent, Two-person",1,,20,2 bc,,,Mundane,,,
Tinderbox,1,,1,50 cc,,,Mundane,,,
,,,,,,,,,,
Cartographer's Tools,1,,6,15 bc,,,Mundane,,,
Jeweler's Tools,1,,2,25 bc,,,Mundane,,,
Tinker's Tools,1,,10,50 bc,,,Mundane,,,
Herbalism's Kit,1,,3,5 bc,,,Mundane,,,
Navigator's Kit,1,,2,25 bc,,,Mundane,,,
Acid (vial),1,,0.5,25 bc,,,Mundane,,,
Antitoxin (vial),1,,0.5,50 bc,,,Mundane,,,
Bag of Caltrops,20,,0.1,5 cc,,,Mundane,,,
"Clothes, Costume",1,,4,5 bc,,,Mundane,,,
"Poison, Basic (vial)",1,,0.5,100 bc,,,Mundane,,,
"Ram, Portable",1,,35,4 bc,,,Mundane,,,
"Spikes, Iron",10,,0.5,10 cc,,,Mundane,,,
Disguise Kit,1,,3,25 bc,,,Mundane,,,
Forgery Kit,1,,5,15 bc,,,Mundane,,,
Dice Set,1,,0.2,10 cc,,,Mundane,,,
Playing Card Set,1,,0.2,50 cc,,,Mundane,,,
Poisoner's Kit,1,,2,50 bc,,,Mundane,,,
Thieves' Tools,1,,1,25 bc,,,Mundane,,,
Crystal,1,Spellcasting Focus,1,10 bc,,,Mundane,,,
Orb,1,Spellcasting Focus,3,20 bc,,,Mundane,,,
Rod,1,Spellcasting Focus,2,10 bc,,,Mundane,,,
Staff,1,"Spellcasting Focus, Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed)",4,5 bc,,,Mundane,,,
Wand,1,Spellcasting Focus,1,10 bc,,,Quality,,,
Satchel,1,12 lb container,2,1 bc,,,Mundane,,,
Component Pouch,1,12 lb container,2,25 bc,,,Mundane,,,
Spellbook,1,Spellcasting Focus,3,50 bc,,,Quality,,,
Runebook,1,Spellcasting Focus,3,50 bc,,,Quality,,,
Fishing Tackle,1,,4,1 bc,,,Mundane,,,
1lb of Fishing Bait,1,,1,5 cc,,,Mundane,,,
Painter's Supplies,1,,3,10 bc,,,Mundane,,,
Dragonchess Set,1,,0.5,1 bc,,,Mundane,,,
Three-Dragon Ante Set,1,,0.2,50 cc,,,Mundane,,,
Dulcimer,1,,10,1 bc,,,Mundane,,,
Lute,1,,2,35 bc,,,Mundane,,,
Pan Flute,1,,2,9 bc,,,Mundane,,,
Shawm,1,,1,1 bc,,,Mundane,,,
Viol,1,,1,22 bc,,,Mundane,,,
Basket,1,,2,40 cc,,,Mundane,,,
"Cloak, Canvas",1,,5,70 cc,,,Mundane,,,
"Cloak, Leather",1,,5,2 bc,,,Mundane,,,
"Cloak, Leather, Lined",1,,5,4 bc,,,Mundane,,,
Robes,1,,4,1 bc,,,Mundane,,,
Bone Needle,5,,0,3 cc,,,Mundane,,,
Steel Needle,1,,0,10 cc,,,Mundane,,,
Cotton Thread (30 feet),1,,0.1,50 cc,,,Mundane,,,
Leather Cord (15 feet),1,,0.2,1 bc,,,Mundane,,,
Bit & Bridle,1,,1,2 bc,,,Mundane,,,
Feed (per day),1,,10,5 cc,,,Mundane,,,
Saddle - Exotic,1,,40,60 bc,,,Mundane,,,
Saddle - Military,1,,30,20 bc,,,Mundane,,,
Saddle - Pack,1,,15,5 bc,,,Mundane,,,
Saddle - Riding,1,,25,10 bc,,,Mundane,,,
Saddlebags,1,50 lb container,8,4 bc,,,Mundane,,,
"Amulet/Necklace, Exquisite",1,,0.2,5 bc,,,Mundane,,,
"Amulet/Necklace, Mundane",1,,0.2,50 cc,,,Mundane,,,
"Earrings, Exquisite",1,,0.1,4 bc,,,Mundane,,,
"Earrings, Mundane",1,,0.1,40 cc,,,Mundane,,,
Jewelry (+ Gem value),1,,0.2,50 bc,,,Mundane,,,
"Ring, Exquisite",1,,0.2,3 bc,,,Mundane,,,
"Ring, Mundane",1,,0.2,30 cc,,,Mundane,,,
Signet Ring,1,,0.2,5 bc,,,Mundane,,,
Azurite (Deep blue),1,,0.1,10 bc,,,Mundane,,,
Banded agate (Brown / Blue),1,,0.1,10 bc,,,Mundane,,,
Blue quartz (Pale blue),1,,0.1,10 bc,,,Mundane,,,
"Eye agate (Circles, gray / blue)",1,,0.1,10 bc,,,Mundane,,,
Hematite (Opaque gray-black),1,,0.1,10 bc,,,Mundane,,,
Lapis lazuli (Blue with yellow),1,,0.1,10 bc,,,Mundane,,,
Malachite (Striated greens),1,,0.1,10 bc,,,Mundane,,,
"Moss agate (Pale, moss marks)",1,,0.1,10 bc,,,Mundane,,,
Obsidian (Opaque black),1,,0.1,10 bc,,,Mundane,,,
Rhodochrosite (Light pink),1,,0.1,10 bc,,,Mundane,,,
"Tiger eye (Brown, gold center)",1,,0.1,10 bc,,,Mundane,,,
Turquoise (Light blue-green),1,,0.1,10 bc,,,Mundane,,,
Bloodstone (Gray with red),1,,0.1,50 bc,,,Mundane,,,
Carnelian (Opaque oranges),1,,0.1,50 bc,,,Mundane,,,
Chalcedony (Opaque white),1,,0.1,50 bc,,,Mundane,,,
Chrysoprase (Clear green),1,,0.1,50 bc,,,Mundane,,,
Citrine (Pale yellow-brown),1,,0.1,50 bc,,,Mundane,,,
"Jasper (Blue, black, or brown)",1,,0.1,50 bc,,,Mundane,,,
Moonstone (White + glow),1,,0.1,50 bc,,,Mundane,,,
"Onyx (Black, white, or both)",1,,0.1,50 bc,,,Mundane,,,
Quartz (Transparent range),1,,0.1,50 bc,,,Mundane,,,
Sardonyx (Red & white),1,,0.1,50 bc,,,Mundane,,,
Star rose quartz (White star),1,,0.1,50 bc,,,Mundane,,,
Zircon (Pale blue-green),1,,0.1,50 bc,,,Mundane,,,
Amber (Watery gold),1,,0.1,100 bc,,,Mundane,,,
Amethyst (Deep purple),1,,0.1,100 bc,,,Mundane,,,
Chrysoberyl (Yellow-green),1,,0.1,100 bc,,,Mundane,,,
Coral (Opaque crimson),1,,0.1,100 bc,,,Mundane,,,
"Garnet (Red, or violet)",1,,0.1,100 bc,,,Mundane,,,
Jade (Green to white),1,,0.1,100 bc,,,Mundane,,,
Jet (Opaque deep black),1,,0.1,100 bc,,,Mundane,,,
Pearl (Lustrous white to pink),1,,0.1,100 bc,,,Mundane,,,
Spinel (Clear red to green),1,,0.1,100 bc,,,Mundane,,,
Tourmaline (Pale Red / Brown),1,,0.1,100 bc,,,Mundane,,,
Alexandrite (Dark green),1,,0.1,500 bc,,,Mundane,,,
Aquamarine (Pale green-blue),1,,0.1,500 bc,,,Mundane,,,
Black pearl (Pure black),1,,0.1,500 bc,,,Mundane,,,
Bluespinel (Deep blue),1,,0.1,500 bc,,,Mundane,,,
Peridot (Rich olive green),1,,0.1,500 bc,,,Mundane,,,
Topaz (Golden yellow),1,,0.1,500 bc,,,Mundane,,,
Black Opal (Translucent green),1,,0.1,1000 bc,,,Mundane,,,
Blue sapphire (Shades of blue),1,,0.1,1000 bc,,,Mundane,,,
Emerald (Deep bright green),1,,0.1,1000 bc,,,Mundane,,,
Fire opal (Fiery red),1,,0.1,1000 bc,,,Mundane,,,
Opal (Pale blue with green),1,,0.1,1000 bc,,,Mundane,,,
Star ruby (Ruby with star),1,,0.1,1000 bc,,,Mundane,,,
Star sapphire (Blue with star),1,,0.1,1000 bc,,,Mundane,,,
Yellow Sapphire (Fiery yellow),1,,0.1,1000 bc,,,Mundane,,,
Black Sapphire (Lustrous black),1,,0.1,5000 bc,,,Mundane,,,
Diamond (Transparent),1,,0.1,5000 bc,,,Mundane,,,
Jacinth (Fiery orange),1,,0.1,5000 bc,,,Mundane,,,
Ruby (Shades of red),1,,0.1,5000 bc,,,Mundane,,,
10 bc Gemstones,1,,0.1,10 bc,,,Mundane,,,
50 bc Gemstones,1,,0.1,50 bc,,,Mundane,,,
100 bc Gemstones,1,,0.1,100 bc,,,Mundane,,,
500 bc Gemstones,1,,0.1,500 bc,,,Mundane,,,
1000 bc Gemstones,1,,0.1,1000 bc,,,Mundane,,,
5000 bc Gemstones,1,,0.1,5000 bc,,,Mundane,,,
Alchemist's Fire (flask),1,,1,50 bc,,,Mundane,,,
Antitoxin (vial),1,,0.25,50 bc,,,Mundane,,,
Alchemy Ingredient - Uncommon,1,,0.5,1 bc,,,Mundane,,,
Alchemy Ingredient - Rare,1,,0.5,10 bc,,,Mundane,,,
Alchemy Ingredient - Very Rare,1,,0.5,30 bc,,,Mundane,,,
Alchemist's Supplies,1,,8,50 bc,,,Mundane,,,
Brewer's Supplies,1,,9,20 bc,,,Mundane,,,
Potion - Common,1,,0.25,50 bc,,,Mundane,,,
Potion - Uncommon,1,,0.25,250 bc,,,Excellent,,,
Potion - Rare,1,,0.25,2500 bc,,,Flawless,,,
Potion - Very Rare,1,,0.25,12500 bc,,,Epic,,,
Potion - Legendary,1,,0.25,62500 bc,,,Legendary,,,
Potion of Invisibility,1,Single-use Invisibility,0.25,250 bc,,,Excellent,,,
Spell Components,1,,0.5,??,,,Mundane,,,
Druidic Focus - Sprig of Mistletoe,1,Spellcasting Focus,0.5,1 bc,,,Mundane,,,
Druidic Focus - Totem,1,Spellcasting Focus,1,1 bc,,,Mundane,,,
Druidic Focus - Wooden Staff,1,Spellcasting Focus,4,5 bc,,,Mundane,,,
Druidic Focus - Yew Wand,1,Spellcasting Focus,1,10 bc,,,Mundane,,,
“Meat” Stick,1,,0.25,3 cc,,,Mundane,,,
Roasted Locusts,1,,0.25,3 cc,,,Mundane,,,
Cheese Omelet,1,,0.25,4 cc,,,Mundane,,,
Ham & Cheese on Rye,1,,0.25,5 cc,,,Mundane,,,
Bacon & Egg Sandwich,1,,0.25,30 cc,,,Mundane,,,
Omelet “your’ Way,1,,0.25,30 cc,,,Mundane,,,
Bloodhawk Eggs,1,,0.25,40 cc,,,Mundane,,,
Bacon Stuffed Bread,1,,0.25,50 cc,,,Mundane,,,
Frittata & Herbs,1,,0.25,1 bc,,,Mundane,,,
Bacon & Owlbear Eggs,1,,0.25,2 bc,,,Mundane,,,
Boar Ham Steak & Eggs,1,,0.25,2 bc,,,Mundane,,,
Truffle Omelet,1,,0.25,3 bc,,,Mundane,,,
Stockpot Stew/ Soup,1,,0.25,4 cc,,,Mundane,,,
“Adventurer’s” Steak,1,,0.25,4 cc,,,Mundane,,,
Minced Pork,1,,0.25,5 cc,,,Mundane,,,
Roast Goat & Cheese,1,,0.25,6 cc,,,Mundane,,,
Roast Lamb & Cheese,1,,0.25,40 cc,,,Mundane,,,
Boar Tenderloin,1,,0.25,50 cc,,,Mundane,,,
Baked Goose Breast,1,,0.25,50 cc,,,Mundane,,,
Grilled Salmon,1,,0.25,60 cc,,,Mundane,,,
Rack of Lamb,1,,0.25,2 bc,,,Mundane,,,
Shellfish Platter,1,,0.25,3 bc,,,Mundane,,,
Dragon Turtle Soup,1,,0.25,4 bc,,,Mundane,,,
Roc Meat Portion,1,,0.25,5 bc,,,Mundane,,,
Grave of Small Birds,1,,0.25,5 cc,,,Mundane,,,
‘Tasha’s Hideous’ Stew,1,,0.25,5 cc,,,Mundane,,,
Rabbit & Potato Plate,1,,0.25,6 cc,,,Mundane,,,
Hunter’s Pie,1,,0.25,40 cc,,,Mundane,,,
Bloodhawk Breast,1,,0.25,50 cc,,,Mundane,,,
Crocodile Steak,1,,0.25,50 cc,,,Mundane,,,
Roasted Bullywug Legs,1,,0.25,60 cc,,,Mundane,,,
Buffalo Ribeye,1,,0.25,2 bc,,,Mundane,,,
Sahuagin Caviar,1,,0.25,3 bc,,,Mundane,,,
Owlbear Steak & Eggs,1,,0.25,4 bc,,,Mundane,,,
[color] Dragon Steak,1,,0.25,5 bc,,,Mundane,,,
Coffee - Cup,1,,0.25,5 cc,,,Mundane,,,
Goodberry “Wine” - Cup,1,,0.25,10 cc,,,Mundane,,,
Fruit Juice (Varies) - Cup,1,,0.25,5 cc,,,Mundane,,,
Milk (Local Variety) - Cup,1,,0.25,3 cc,,,Mundane,,,
Fruit - In Season - A Piece,1,,0.25,1 cc,,,Mundane,,,
Fruit - Out of Season - A Piece,1,,0.25,5 cc,,,Mundane,,,
Amaranth Leaf/ Greens - Bushel,1,,0.25,5 cc,,,Mundane,,,
Broccoli/ Cauliflower - Bushel,1,,0.25,3 cc,,,Mundane,,,
Cabbage/ Lettuce - Bushel,1,,0.25,2 cc,,,Mundane,,,
Fruit “Vegetable” - Each,1,,0.25,5 cc,,,Mundane,,,
Legumes - Bushel,1,,0.25,4 cc,,,Mundane,,,
Root Vegetable/ Tuber - Bushel,1,,0.25,1 cc,,,Mundane,,,
Amaranth,1,,0.25,2 bc,,,Mundane,,,
Barley/ Rye,1,,0.25,2 cc,,,Mundane,,,
Oats,1,,0.25,50 cc,,,Mundane,,,
Quinoa,1,,0.25,1 bc,,,Mundane,,,
Rice,1,,0.25,5 cc,,,Mundane,,,
Wheat,1,,0.25,10 cc,,,Mundane,,,
Almond/ Sweet Roll (S),1,,0.25,10 cc,,,Mundane,,,
Seed Cake,1,,0.25,5 cc,,,Mundane,,,
Cheat/ Wheaten Loaf,1,,0.25,20 cc,,,Mundane,,,
Cheese Danish,1,,0.25,10 cc,,,Mundane,,,
Fruit Tart (S),1,,0.25,20 cc,,,Mundane,,,
Manchet Loaf,1,,0.25,1 bc,,,Mundane,,,
Quince Bread Slice (S),1,,0.25,20 cc,,,Mundane,,,
Rye Loaf,1,,0.25,2 cc,,,Mundane,,,
Beef/ Buffalo/ Deer,1,,1,30 cc,,,Mundane,,,
Boar/ Chicken/ Pork,1,,1,8 cc,,,Mundane,,,
Dried/ Salted Meat,1,,1,50 cc,,,Mundane,,,
Egg (for 6),1,,1,3 cc,,,Mundane,,,
Fish,1,,1,60 cc,,,Mundane,,,
Insects/ Small Game,1,,1,4 cc,,,Mundane,,,
Goat,1,,1,10 cc,,,Mundane,,,
Lamb,1,,1,1 bc,,,Mundane,,,
Shellfish (Oceanic),1,,1,2 bc,,,Mundane,,,
Brie Cheese (½.),1,,0.5,20 cc,,,Mundane,,,
Cheddar Cheese (½.),1,,0.5,1 bc,,,Mundane,,,
Cottage Cheese (½.),1,,0.5,4 cc,,,Mundane,,,
Parmesan Cheese (½.),1,,0.5,50 cc,,,Mundane,,,
Specialty Cheese (½.),1,,0.5,2 bc,,,Mundane,,,
Cinnamon (½ Ounce),1,,0.03,10 cc,,,Mundane,,,
Coriander (½ Ounce),1,,0.03,3 cc,,,Mundane,,,
Cumin (½ Ounce),1,,0.03,7 cc,,,Mundane,,,
Garlic (½ Ounce),1,,0.03,2 cc,,,Mundane,,,
Mustard (½ Ounce),1,,0.03,10 cc,,,Mundane,,,
Nutmeg (½ Ounce),1,,0.03,8 cc,,,Mundane,,,
Pepper (½ Ounce),1,,0.03,5 cc,,,Mundane,,,
Salt (½ Ounce),1,,0.03,6 cc,,,Mundane,,,
Specialty Spice (½ Ounce),1,,0.03,20 cc,,,Mundane,,,
Bandolier,1,,0.5,8 bc,,,Mundane,,,
Belt,1,,0.5,2 bc,,,Mundane,,,
“Better” Backpack,1,35 lb container,5,4 bc,,,Mundane,,,
Blouse,1,,0.5,1 bc,,,Mundane,,,
Breeches,1,,1,1 bc,,,Mundane,,,
Boots,1,,1,4 bc,,,Mundane,,,
Bow Tie,1,,0.2,50 cc,,,Mundane,,,
"Cloak/ (Mantle, -1 bc)",1,,2,4 bc,,,Mundane,,,
Coat,1,,5,5 bc,,,Mundane,,,
Coin Purse,1,,0.06,1 bc,,,Mundane,,,
Corset,1,,3,3 bc,,,Mundane,,,
Dress,1,,4,7 bc,,,Mundane,,,
Dress Pants,1,,1,2 bc,,,Mundane,,,
Dress Shirt,1,,1,1 bc,,,Mundane,,,
Dress Shoes,1,,1,3 bc,,,Mundane,,,
Ghillies (Dance Shoes),1,,1,2 bc,,,Mundane,,,
Gloves,1,,0.5,1 bc,,,Mundane,,,
Hat,1,,0.5,2 bc,,,Mundane,,,
Jacket,1,,3,4 bc,,,Mundane,,,
"Jerkin/ (Tabard, +1 bc)",1,,5,2 bc,,,Mundane,,,
Robe,1,,4,5 bc,,,Mundane,,,
Sandals,1,,1,3 bc,,,Mundane,,,
Scarf,1,,0.5,50 cc,,,Mundane,,,
Lavender Lancer Scarf,1,,0.5,50 cc,,,Mundane,,,
Skirt/ (Kilt +1 bc),1,,2,3 bc,,,Mundane,,,
Swimwear,1,,1,1 bc,,,Mundane,,,
Tie,1,,0.25,50 cc,,,Mundane,,,
Tunic,1,,2,50 cc,,,Mundane,,,
Undergarments,1,,0.5,50 cc,,,Mundane,,,
Vests,1,,1,3 bc,,,Mundane,,,
Closure Devices (Options): Buckles,1,,0.2,10 cc,,,Mundane,,,
Closure Devices (Options): Snaps,1,,0.2,50 cc,,,Mundane,,,
Cosmetic: Embroidery (per foot),1,,0,2 bc,,,Mundane,,,
Cosmetic: Linen Cloth Construction,1,,0,(+)1 bc,,,Mundane,,,
Cosmetic: Lining (Material Options): Fur,1,,0,3 bc,,,Mundane,,,
Cosmetic: Lining (Material Options): Leather (Basic),1,,0,4 bc,,,Mundane,,,
Cosmetic: Lining (Material Options): Leather (Specialty),1,,0,(+)CR% N.,,,Mundane,,,
Cosmetic: Lining (Material Options): Silk,1,,0,3 bc,,,Mundane,,,
Cosmetic: Pockets,1,,0,20 cc,,,Mundane,,,
Cosmetic: Bracers,1,,0,50 cc,,,Mundane,,,
Cosmetic: Breastplate,1,,0,3 bc,,,Mundane,,,
Cosmetic: Cuisse (Thigh Armor),1,,0,1 bc,,,Mundane,,,
Cosmetic: Full Arm Armor (Pair),1,,0,1 bc,,,Mundane,,,
Cosmetic: Full Leg Armor (Pair),1,,0,2 bc,,,Mundane,,,
Cosmetic: Gauntlets,1,,0,1 bc,,,Mundane,,,
Cosmetic: Gorget (Neck),1,,0,50 cc,,,Mundane,,,
Cosmetic: Greaves (Lower Leg),1,,0,1 bc,,,Mundane,,,
"Cosmetic: Harness (Chest & Back), Extra",1,,0,7 bc,,,Mundane,,,
Cosmetic: Helmet,1,,0,2 bc,,,Mundane,,,
Cosmetic: Pauldrons (Shoulders),1,,0,1 bc,,,Mundane,,,
Cosmetic: Sabatons (Feet),1,,0,50 cc,,,Mundane,,,
Cosmetic: Buckler (1 Unit),1,,0,8 bc,,,Mundane,,,
Cosmetic: Sheathe (See Unit Note),1,,0,80 cc,,,Mundane,,,
Adamantite,1,,1,200 bc,,,Mundane,,,
Aero Crystal,1,,1,400 bc,,,Mundane,,,
Asmoroch Wood,1,,1,400 bc,,,Mundane,,,
Beast Feathers (CR Values),1,,1,CR% N.,,,Mundane,,,
Bone (CR Values),1,,1,CR% N.,,,Mundane,,,
Chitin (CR Values),1,,1,CR% N.,,,Mundane,,,
Cold Iron,1,,1,100 bc,,,Mundane,,,
Coral,1,,1,100 bc,,,Mundane,,,
Creature Hide (CR Values),1,,1,CR% N.,,,Mundane,,,
Creature Scales (CR Values),1,,1,CR% N.,,,Mundane,,,
Darksteel,1,,1,200 bc,,,Mundane,,,
Darkwood,1,,1,100 bc,,,Mundane,,,
Dwarven Stone,1,,1,400 bc,,,Mundane,,,
Eternal Ice,1,,1,400 bc,,,Mundane,,,
Ignum,1,,1,400 bc,,,Mundane,,,
Infernal Leather,1,,1,800 bc,,,Mundane,,,
Infernal Steel,1,,1,800 bc,,,Mundane,,,
Leafweave,1,,1,100 bc,,,Mundane,,,
Mithril,1,,1,200 bc,,,Mundane,,,
Obsidian,1,,1,200 bc,,,Mundane,,,
Orichalum,1,,1,400 bc,,,Mundane,,,
Plague Wood,1,,1,200 bc,,,Mundane,,,
Shadowsilk (CR Values),1,,1,CR% N.,,,Mundane,,,
Shadowfell Linen,1,,1,800 bc,,,Mundane,,,
Spiritual Wood,1,,1,200 bc,,,Mundane,,,
Stellar Iron,1,,1,800 bc,,,Mundane,,,
Magic Scroll: Common,1,,1,?,,,Mundane,,,
Magic Scroll: Uncommon,1,,1,?,,,Excellent,,,
Magic Scroll: Rare,1,,1,?,,,Flawless,,,
Magic Scroll: Very Rare,1,,1,?,,,Epic,,,
Magic Scroll: Legendary,1,,1,?,,,Legendary,,,
Scroll of Alert - CL 1,1,,1,50-100,,,Excellent,,,
Scroll of Slow Fall - CL 1,1,,1,50-100,,,Excellent,,,
Scroll of Oil Spill - CL 1,1,,1,50-100,,,Excellent,,,
Scroll of Noiseless Picture - CL 1,1,,1,50-100,,,Excellent,,,
"Drug, Mirage",1,,0.1,5 bc,,,Mundane,,,
Amulet of Strength,1,,0.1,?,,,Excellent,,,
Amulet of Blazecraft,1,,0.1,?,,,Excellent,,,
Amulet of Knighthood,1,,0.1,?,,,Excellent,,,
